feature,importance_mean,importance_std
E_AI_TML,0.44930708392660157,0.04829749004198711
target_any_ai,0.3808476750253672,0.04767481385715503
geo,0.0838877664400333,0.012451433125085587
deployment_readiness_index,0.025197900516659554,0.0056139080832009166
E_AI_BLEG,0.02398976166283725,0.006280000407083562
security_concern_index,0.020401995006765903,0.005442076292203069
security_x_efficiency,0.01997044987749075,0.006234226286072585
E_AI_CC,0.017367123334256596,0.0058237303500777785
E_AI_TNLG,0.016923789745145384,0.006236643455894022
governance_maturity_proxy,0.008805169442672414,0.003761688817236718
size_emp,0.0038542111865395245,0.0019199733770229536
E_AI_BCDP,0.0033722122032034062,0.002244194975870242
year,0.0016752017224167348,0.001100976853308237
E_AI_DA,0.0012174264757305099,0.002795870694723222
E_AI_BCST,0.000703143294045927,0.0007882911261604613
E_AI_BLE,0.0003803510929256504,0.0012436459023816787
E_AI_PITS,0.00019089596266598453,0.0002851893220429164
E_AI_BDDT,7.969098173181255e-05,0.0002085099781800927
E_AI_PBAM,-0.00013271433210978678,0.0019845571686137003
