dataset,rows,columns,numeric_features,categorical_features,target_nonnull,target_min,target_median,target_max,mean_numeric_missing_rate,duplicate_panel_keys,geo_count,year_min,year_max,size_class_count,nace_count,semantic_note
stage1_sme_size_class,544,100,83,2,544,0.0,4.4125,57.3,0.3886446331109763,0,36,2021,2025,4,,SME size-class panel. Use for SME adoption-mechanism claims.
stage2_industry_region_GE10,5814,80,62,3,5814,0.0,3.455,100.0,0.4681757282783843,0,36,2021,2025,1,50.0,"GE10 industry/region panel. Use as external validation, not SME size split."
