dataset,model,cv_type,r2_mean,r2_std,mae_mean,mae_std,train_r2_mean,fit_time_sec
stage1_sme_size_class,ridge,GroupKFold(geo),0.8293491628832633,0.03131097360133394,2.1829981113390566,0.30812398251364936,0.965021753527265,0.013080883026123046
stage1_sme_size_class,random_forest,GroupKFold(geo),0.8495172115199375,0.05357111099288389,1.7899876665858987,0.3071576169802539,0.9748322715988461,0.620400857925415
stage1_sme_size_class,extra_trees,GroupKFold(geo),0.8459923889665664,0.06211554093653445,1.77561995632125,0.37948316348438177,0.9960174616991493,0.5705126285552978
stage1_sme_size_class,hist_gradient_boosting,GroupKFold(geo),0.7961215657681552,0.0965748411340501,1.9965745729554172,0.38104961445998237,0.9915230611172069,0.7559698104858399
stage2_industry_region_GE10,ridge,GroupKFold(geo),0.6950223169731874,0.05667386447793542,2.2439265715892263,0.28890682946659674,0.7902337716821674,0.07645587921142578
stage2_industry_region_GE10,random_forest,GroupKFold(geo),0.6968518519619635,0.03837098720880134,2.038620976996642,0.2593451345210502,0.9355583920855484,4.039947843551635
stage2_industry_region_GE10,extra_trees,GroupKFold(geo),0.7238307880159607,0.036480195943393905,1.9670936511619748,0.2791172279976184,0.9906645722214653,1.9506672382354737
stage2_industry_region_GE10,hist_gradient_boosting,GroupKFold(geo),0.6912324767182504,0.04488955930787104,2.071779979894999,0.24702839964832232,0.968932038714275,1.5121975898742677
