dataflow,last update,freq,size_emp,nace_r2,indic_is,unit,geo,year,value,obs_flag,conf_status,dataset,feature,country
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,EL,2023,3.03,,,ai,ai__E_AI_BCDP,Greece
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,EL,2024,1.99,,,ai,ai__E_AI_BCDP,Greece
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,EL,2025,5.01,,,ai,ai__E_AI_BCDP,Greece
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,ES,2021,1.42,,,ai,ai__E_AI_BCDP,Spain
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,ES,2023,1.94,,,ai,ai__E_AI_BCDP,Spain
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,ES,2024,2.86,,,ai,ai__E_AI_BCDP,Spain
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,ES,2025,5.88,,,ai,ai__E_AI_BCDP,Spain
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,EU27_2020,2023,2.66,,,ai,ai__E_AI_BCDP,EU-27
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,EU27_2020,2024,4.74,,,ai,ai__E_AI_BCDP,EU-27
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,EU27_2020,2025,5.72,,,ai,ai__E_AI_BCDP,EU-27
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,FI,2021,3.16,,,ai,ai__E_AI_BCDP,Finland
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,FI,2023,6.15,,,ai,ai__E_AI_BCDP,Finland
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,FI,2025,9.01,,,ai,ai__E_AI_BCDP,Finland
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,HR,2021,1.45,,,ai,ai__E_AI_BCDP,Croatia
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,HR,2023,1.62,,,ai,ai__E_AI_BCDP,Croatia
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,HR,2024,2.41,,,ai,ai__E_AI_BCDP,Croatia
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,HR,2025,2.25,,,ai,ai__E_AI_BCDP,Croatia
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,HU,2021,0.78,,,ai,ai__E_AI_BCDP,Hungary
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,HU,2023,1.46,,,ai,ai__E_AI_BCDP,Hungary
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,HU,2024,2.44,,,ai,ai__E_AI_BCDP,Hungary
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,HU,2025,3.68,,,ai,ai__E_AI_BCDP,Hungary
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,IT,2023,1.56,,,ai,ai__E_AI_BCDP,Italy
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,IT,2025,4.04,,,ai,ai__E_AI_BCDP,Italy
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,LT,2021,3.39,,,ai,ai__E_AI_BCDP,Lithuania
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,LT,2023,3.69,,,ai,ai__E_AI_BCDP,Lithuania
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,LT,2024,5.73,,,ai,ai__E_AI_BCDP,Lithuania
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,LU,2024,3.55,,,ai,ai__E_AI_BCDP,Luxembourg
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,LU,2025,5.39,,,ai,ai__E_AI_BCDP,Luxembourg
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,LV,2021,1.48,,,ai,ai__E_AI_BCDP,Latvia
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,LV,2023,1.95,,,ai,ai__E_AI_BCDP,Latvia
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,LV,2024,2.71,,,ai,ai__E_AI_BCDP,Latvia
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,LV,2025,5.76,,,ai,ai__E_AI_BCDP,Latvia
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,MT,2021,3.69,,,ai,ai__E_AI_BCDP,Malta
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,MT,2023,4.7,,,ai,ai__E_AI_BCDP,Malta
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,MT,2024,5.41,,,ai,ai__E_AI_BCDP,Malta
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,MT,2025,4.03,,,ai,ai__E_AI_BCDP,Malta
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,NL,2021,1.15,,,ai,ai__E_AI_BCDP,Netherlands
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,NL,2023,2.06,,,ai,ai__E_AI_BCDP,Netherlands
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,NL,2024,3.61,,,ai,ai__E_AI_BCDP,Netherlands
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,NL,2025,4.59,,,ai,ai__E_AI_BCDP,Netherlands
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,NO,2021,1.48,,,ai,ai__E_AI_BCDP,Norway
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,NO,2023,3.12,,,ai,ai__E_AI_BCDP,Norway
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,NO,2024,2.4,,,ai,ai__E_AI_BCDP,Norway
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,NO,2025,4.33,,,ai,ai__E_AI_BCDP,Norway
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,PL,2021,0.62,,,ai,ai__E_AI_BCDP,Poland
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,PL,2023,0.78,,,ai,ai__E_AI_BCDP,Poland
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,PL,2024,1.36,,,ai,ai__E_AI_BCDP,Poland
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,PL,2025,1.81,,,ai,ai__E_AI_BCDP,Poland
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,PT,2021,1.36,,,ai,ai__E_AI_BCDP,Portugal
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,PT,2023,2.77,,,ai,ai__E_AI_BCDP,Portugal
