dataflow,last update,freq,size_emp,nace_r2,indic_is,unit,geo,year,value,obs_flag,conf_status,dataset,feature,country
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,EU27_2020,2013,15.77,,,ecommerce_sales,ecommerce_sales__E_AESELL,EU-27
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,EU27_2020,2014,16.6,,,ecommerce_sales,ecommerce_sales__E_AESELL,EU-27
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,EU27_2020,2015,18.26,,,ecommerce_sales,ecommerce_sales__E_AESELL,EU-27
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,EU27_2020,2016,19.64,,,ecommerce_sales,ecommerce_sales__E_AESELL,EU-27
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,EU27_2020,2017,19.4,,,ecommerce_sales,ecommerce_sales__E_AESELL,EU-27
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,EU27_2020,2018,18.52,,,ecommerce_sales,ecommerce_sales__E_AESELL,EU-27
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,EU27_2020,2019,19.06,,,ecommerce_sales,ecommerce_sales__E_AESELL,EU-27
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,EU27_2020,2020,20.4,,,ecommerce_sales,ecommerce_sales__E_AESELL,EU-27
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,EU27_2020,2021,21.7,,,ecommerce_sales,ecommerce_sales__E_AESELL,EU-27
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,EU27_2020,2022,22.18,,,ecommerce_sales,ecommerce_sales__E_AESELL,EU-27
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,EU27_2020,2023,22.22,,,ecommerce_sales,ecommerce_sales__E_AESELL,EU-27
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,EU27_2020,2024,23.14,,,ecommerce_sales,ecommerce_sales__E_AESELL,EU-27
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,EU27_2020,2025,22.85,,,ecommerce_sales,ecommerce_sales__E_AESELL,EU-27
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,EU28,2010,14.36,,,ecommerce_sales,ecommerce_sales__E_AESELL,EU28
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,EU28,2011,14.6,,,ecommerce_sales,ecommerce_sales__E_AESELL,EU28
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,EU28,2012,15.54,,,ecommerce_sales,ecommerce_sales__E_AESELL,EU28
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,EU28,2013,16.4,,,ecommerce_sales,ecommerce_sales__E_AESELL,EU28
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,EU28,2014,17.13,,,ecommerce_sales,ecommerce_sales__E_AESELL,EU28
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,EU28,2015,18.77,,,ecommerce_sales,ecommerce_sales__E_AESELL,EU28
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,EU28,2016,19.79,,,ecommerce_sales,ecommerce_sales__E_AESELL,EU28
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,EU28,2017,19.7,,,ecommerce_sales,ecommerce_sales__E_AESELL,EU28
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,EU28,2018,18.87,,,ecommerce_sales,ecommerce_sales__E_AESELL,EU28
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,EU28,2019,19.84,,,ecommerce_sales,ecommerce_sales__E_AESELL,EU28
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,FI,2010,17.84,,,ecommerce_sales,ecommerce_sales__E_AESELL,Finland
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,FI,2011,19.73,,,ecommerce_sales,ecommerce_sales__E_AESELL,Finland
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,FI,2012,19.52,,,ecommerce_sales,ecommerce_sales__E_AESELL,Finland
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,FI,2013,18.13,,,ecommerce_sales,ecommerce_sales__E_AESELL,Finland
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,FI,2014,17.88,,,ecommerce_sales,ecommerce_sales__E_AESELL,Finland
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,FI,2015,18.4,,,ecommerce_sales,ecommerce_sales__E_AESELL,Finland
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,FI,2016,20.73,,,ecommerce_sales,ecommerce_sales__E_AESELL,Finland
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,FI,2017,23.2,,,ecommerce_sales,ecommerce_sales__E_AESELL,Finland
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,FI,2018,22.86,,,ecommerce_sales,ecommerce_sales__E_AESELL,Finland
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,FI,2019,27.72,,,ecommerce_sales,ecommerce_sales__E_AESELL,Finland
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,FI,2020,21.51,,,ecommerce_sales,ecommerce_sales__E_AESELL,Finland
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,FI,2021,28.49,,,ecommerce_sales,ecommerce_sales__E_AESELL,Finland
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,FI,2022,31.75,,,ecommerce_sales,ecommerce_sales__E_AESELL,Finland
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,FI,2023,29.66,,,ecommerce_sales,ecommerce_sales__E_AESELL,Finland
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,FI,2024,33.29,,,ecommerce_sales,ecommerce_sales__E_AESELL,Finland
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,FI,2025,33.5,,,ecommerce_sales,ecommerce_sales__E_AESELL,Finland
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,FR,2010,13.56,,,ecommerce_sales,ecommerce_sales__E_AESELL,France
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,FR,2011,12.34,,,ecommerce_sales,ecommerce_sales__E_AESELL,France
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,FR,2012,13.37,,,ecommerce_sales,ecommerce_sales__E_AESELL,France
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,FR,2013,13.06,,,ecommerce_sales,ecommerce_sales__E_AESELL,France
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,FR,2014,14.18,,,ecommerce_sales,ecommerce_sales__E_AESELL,France
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,FR,2015,20.56,,,ecommerce_sales,ecommerce_sales__E_AESELL,France
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,FR,2016,20.28,,,ecommerce_sales,ecommerce_sales__E_AESELL,France
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,FR,2017,19.97,,,ecommerce_sales,ecommerce_sales__E_AESELL,France
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,FR,2018,17.67,,,ecommerce_sales,ecommerce_sales__E_AESELL,France
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,FR,2019,18.0,,,ecommerce_sales,ecommerce_sales__E_AESELL,France
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,FR,2020,16.28,,,ecommerce_sales,ecommerce_sales__E_AESELL,France
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,FR,2021,17.8,,,ecommerce_sales,ecommerce_sales__E_AESELL,France
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,FR,2022,16.15,b,,ecommerce_sales,ecommerce_sales__E_AESELL,France
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,FR,2023,16.07,,,ecommerce_sales,ecommerce_sales__E_AESELL,France
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,FR,2024,17.58,,,ecommerce_sales,ecommerce_sales__E_AESELL,France
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,FR,2025,18.44,,,ecommerce_sales,ecommerce_sales__E_AESELL,France
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,HR,2010,24.21,,,ecommerce_sales,ecommerce_sales__E_AESELL,Croatia
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,HR,2011,21.65,,,ecommerce_sales,ecommerce_sales__E_AESELL,Croatia
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,HR,2012,26.81,,,ecommerce_sales,ecommerce_sales__E_AESELL,Croatia
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,HR,2013,20.86,,,ecommerce_sales,ecommerce_sales__E_AESELL,Croatia
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,HR,2014,25.66,,,ecommerce_sales,ecommerce_sales__E_AESELL,Croatia
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,HR,2015,19.47,,,ecommerce_sales,ecommerce_sales__E_AESELL,Croatia
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,HR,2016,18.02,,,ecommerce_sales,ecommerce_sales__E_AESELL,Croatia
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,HR,2017,17.37,,,ecommerce_sales,ecommerce_sales__E_AESELL,Croatia
