geo,country,year,size_emp,target_workflow_automation,target_any_ai,security_concern_index,deployment_readiness_index,governance_maturity_proxy,E_AI_BLE,E_AI_BCST,persona_cluster
CY,Cyprus,2025,10-249,2.6950000000000003,8.735,15.116071428571429,6.625,11.39,21.39,12.5825,0
CY,Cyprus,2025,10-49,2.32,7.734999999999999,14.797500000000001,5.621666666666667,10.46,21.457500000000003,12.4675,0
CY,Cyprus,2025,50-249,5.18,15.325,17.210714285714285,13.270000000000001,15.459999999999999,22.1525,13.715,2
CZ,Czechia,2021,10-249,1.02,3.7,,,12.683333333333335,,,0
CZ,Czechia,2021,10-49,0.745,2.8200000000000003,,,10.76,,,0
CZ,Czechia,2021,50-249,2.2350000000000003,7.67,,,16.713333333333335,,,0
CZ,Czechia,2023,10-249,1.455,5.07,,3.2816666666666667,11.483333333333334,,,0
CZ,Czechia,2023,10-49,0.9450000000000001,4.075,,2.686666666666667,9.02,,,0
CZ,Czechia,2023,50-249,3.89,9.829999999999998,,6.123333333333332,17.41,,,1
CZ,Czechia,2024,10-249,2.315,10.26,,,9.4,,,0
CZ,Czechia,2024,10-49,1.885,8.875,,,7.510000000000001,,,0
CZ,Czechia,2024,50-249,4.425,17.045,,,15.326666666666666,,,0
CZ,Czechia,2025,10-249,3.415,16.38,,12.47,9.476666666666667,,,0
CZ,Czechia,2025,10-49,2.6900000000000004,13.635000000000002,,9.973333333333333,7.0200000000000005,,,0
CZ,Czechia,2025,50-249,6.73,28.96,,23.926666666666666,16.79,,,2
DE,Germany,2021,10-249,3.175,9.915,,,7.226666666666667,,,0
DE,Germany,2021,10-49,2.8499999999999996,8.945,,,6.106666666666666,,,0
DE,Germany,2021,50-249,4.82,14.825,,,11.19,,,0
DE,Germany,2023,10-249,3.2350000000000003,10.77,,6.580000000000001,,,,0
DE,Germany,2023,10-49,2.8049999999999997,9.7,,5.526666666666667,,,,0
DE,Germany,2023,50-249,5.39,16.21,6.5475,11.97,13.526666666666666,,,0
DE,Germany,2024,10-249,4.66,18.825000000000003,,,8.286666666666667,,,0
DE,Germany,2024,10-49,3.7699999999999996,16.965000000000003,,,6.726666666666667,,,0
DE,Germany,2024,50-249,9.17,28.275,19.777142857142856,,14.159999999999998,31.4675,13.745000000000001,2
DE,Germany,2025,10-249,6.49,24.965,18.076428571428572,15.729999999999999,9.24,26.955,12.174999999999999,2
DE,Germany,2025,10-49,6.05,23.095,17.724285714285713,13.844999999999999,7.963333333333334,26.330000000000002,11.9125,2
DE,Germany,2025,50-249,8.995000000000001,35.57,20.430714285714284,26.413333333333338,15.063333333333333,30.915,13.872499999999999,3
DK,Denmark,2021,10-249,15.725000000000001,22.615000000000002,12.0555,,13.24,22.47,10.459999999999999,2
DK,Denmark,2021,10-49,13.175,19.744999999999997,11.861500000000001,,11.4,21.587500000000002,10.307500000000001,2
DK,Denmark,2021,50-249,28.7,37.25,13.5425,,20.346666666666668,26.987499999999997,11.695,3
DK,Denmark,2023,10-249,6.55,14.08,,11.700000000000001,14.016666666666666,,,2
DK,Denmark,2023,10-49,5.55,12.37,,10.073333333333332,12.806666666666667,,,0
DK,Denmark,2023,50-249,11.47,22.56,,19.746666666666666,18.52,,,2
DK,Denmark,2024,10-249,10.03,26.43,16.742857142857144,,15.735,32.612500000000004,7.195,2
DK,Denmark,2024,10-49,8.54,23.52,16.57,,13.061666666666667,31.472500000000004,7.15,2
DK,Denmark,2024,50-249,17.44,40.92,18.08785714285714,,22.134999999999998,38.765,7.6274999999999995,3
DK,Denmark,2025,10-249,14.32,40.99,16.691785714285714,32.00666666666667,12.743333333333334,32.980000000000004,7.19,3
DK,Denmark,2025,10-49,12.27,37.45,16.241071428571427,28.276666666666667,10.513333333333334,32.3225,6.9575000000000005,3
DK,Denmark,2025,50-249,24.34,58.27,19.490357142857142,50.24,21.923333333333332,37.3975,8.5525,3
EA,Euro area,2021,10-249,2.5949999999999998,7.775,,,8.37,,,0
EA,Euro area,2021,10-49,2.165,6.775,,,7.453333333333333,,,0
EA,Euro area,2021,50-249,5.25,13.885,,,11.83,,,0
EA,Euro area,2023,10-249,2.7699999999999996,8.195,14.086428571428572,5.140000000000001,9.083333333333334,20.967499999999998,14.1075,0
EA,Euro area,2023,10-49,2.2699999999999996,7.125,14.05642857142857,4.191666666666666,7.756666666666668,20.6475,14.395,0
EA,Euro area,2023,50-249,5.720000000000001,14.530000000000001,14.7075,10.756666666666666,13.873333333333333,22.9575,13.492499999999998,2
EA,Euro area,2024,10-249,3.89,13.594999999999999,15.397857142857143,,8.516666666666666,24.075000000000003,11.39,2
EA,Euro area,2024,10-49,3.185,12.065,14.971428571428572,,7.173333333333333,23.2975,10.9875,0
EA,Euro area,2024,50-249,8.055,22.630000000000003,17.765357142857145,,13.923333333333332,28.195,13.45,2
EA,Euro area,2025,10-249,5.050000000000001,20.4,16.277142857142856,13.46,8.126666666666667,24.560000000000002,13.4225,2
EA,Euro area,2025,10-49,4.404999999999999,18.42,16.0625,11.546666666666667,6.633333333333333,24.182499999999997,13.315,2
EA,Euro area,2025,50-249,9.0,32.515,17.9275,25.191666666666663,14.829999999999998,27.3175,14.4575,3
EE,Estonia,2021,10-249,0.515,2.39,12.8875,,6.963333333333334,17.485,16.1525,0
EE,Estonia,2021,10-49,0.2,1.83,12.846785714285712,,4.746666666666667,17.13,16.21,0
EE,Estonia,2021,50-249,2.165,5.34,13.123214285714285,,11.476666666666667,19.155,15.95,0
EE,Estonia,2023,10-249,1.09,4.79,10.809285714285716,2.966666666666667,10.026666666666666,19.0025,14.762500000000001,0
EE,Estonia,2023,10-49,0.725,4.17,10.764642857142857,2.3183333333333334,8.0,19.194999999999997,15.5175,0
EE,Estonia,2023,50-249,3.0300000000000002,8.095,11.371071428571428,6.396666666666666,16.23,19.287499999999998,13.415000000000001,0
