geo,country,year,size_emp,target_workflow_automation,target_any_ai,security_concern_index,deployment_readiness_index,governance_maturity_proxy,E_AI_BLE,E_AI_BCST,persona_cluster
LV,Latvia,2025,10-249,3.44,11.33,15.781071428571428,8.75,8.793333333333335,20.8875,13.5725,0
LV,Latvia,2025,10-49,2.95,9.77,15.768928571428573,7.346666666666667,6.9366666666666665,21.127500000000005,13.594999999999999,0
LV,Latvia,2025,50-249,6.04,19.78,15.899642857142856,16.336666666666666,15.073333333333332,19.447499999999998,13.4925,2
ME,Montenegro,2021,10-249,1.3849999999999998,3.2800000000000002,,,6.016666666666667,,,0
ME,Montenegro,2021,10-49,1.65,3.715,,,6.396666666666667,,,0
ME,Montenegro,2021,50-249,0.0,1.03,,,0.0,,,0
ME,Montenegro,2023,10-249,2.37,5.5,,2.675,,,,0
ME,Montenegro,2023,10-49,2.34,4.76,,2.1950000000000003,,,,0
ME,Montenegro,2024,10-249,3.36,7.9,,,,,,0
ME,Montenegro,2024,10-49,3.28,,,,,,,0
ME,Montenegro,2025,10-249,2.03,10.01,,5.609999999999999,,,,0
ME,Montenegro,2025,10-49,1.97,,,5.6066666666666665,,,,0
MK,North Macedonia,2021,10-249,1.04,,,,4.34,,,0
MK,North Macedonia,2021,10-49,1.1099999999999999,,,,3.546666666666667,,,0
MK,North Macedonia,2021,50-249,0.605,,,,7.526666666666666,,,0
MT,Malta,2021,10-249,4.0600000000000005,10.02,15.213928571428573,,14.700000000000001,21.590000000000003,17.740000000000002,1
MT,Malta,2021,10-49,3.3099999999999996,8.469999999999999,15.544285714285715,,14.183333333333335,22.035,18.3425,1
MT,Malta,2021,50-249,7.86,17.905,13.909285714285716,,17.01666666666667,19.8575,15.2675,2
MT,Malta,2023,10-249,4.5600000000000005,12.690000000000001,15.908928571428573,8.35,12.88,24.192500000000003,17.5375,1
MT,Malta,2023,10-49,4.09,10.885,15.483571428571429,7.001666666666668,10.396666666666667,23.9775,16.2925,1
MT,Malta,2023,50-249,6.71,21.035,17.89392857142857,14.57,20.476666666666667,25.575,22.65,1
MT,Malta,2024,10-249,6.125,16.450000000000003,17.12607142857143,,13.963333333333331,25.16,20.020000000000003,1
MT,Malta,2024,10-49,5.34,14.475000000000001,16.819999999999997,,9.655,24.332500000000003,19.79,1
MT,Malta,2024,50-249,9.83,25.735,18.726428571428574,,22.358333333333334,29.0075,21.3775,1
MT,Malta,2025,10-249,6.345,20.47,12.480357142857144,14.931666666666667,10.893333333333333,20.6725,14.365000000000002,2
MT,Malta,2025,10-49,5.285,18.2,11.843928571428574,12.753333333333332,8.723333333333334,19.645,13.445,0
MT,Malta,2025,50-249,11.135,30.735,15.284999999999998,24.778333333333336,18.236666666666668,25.2175,18.2425,3
NL,Netherlands,2021,10-249,5.74,12.1,10.840357142857142,,13.579999999999998,20.862499999999997,12.74,0
NL,Netherlands,2021,10-49,4.55,10.1,10.584285714285715,,12.253333333333332,20.830000000000002,12.367500000000001,0
NL,Netherlands,2021,50-249,11.33,21.44,11.985714285714284,,17.94333333333333,21.8,14.280000000000001,2
NL,Netherlands,2023,10-249,4.92,13.11,11.783214285714285,9.946666666666665,10.963333333333333,22.497500000000002,10.782499999999999,0
NL,Netherlands,2023,10-49,4.13,11.75,11.608214285714286,8.473333333333334,9.423333333333334,22.195,10.632499999999999,0
NL,Netherlands,2023,50-249,8.78,19.75,12.650714285714285,17.103333333333335,16.38,24.0425,11.54,2
NL,Netherlands,2024,10-249,5.57,21.9,11.99892857142857,19.98,9.086666666666666,23.7725,6.585,2
NL,Netherlands,2024,10-49,4.75,19.96,11.176428571428572,18.06,7.563333333333335,22.624999999999996,6.5775,2
NL,Netherlands,2024,50-249,9.49,31.19,15.28535714285714,29.14,14.803333333333335,28.862500000000004,7.0625,3
NL,Netherlands,2025,10-249,7.59,31.87,13.125357142857142,25.23,9.756666666666666,26.384999999999998,7.175,2
NL,Netherlands,2025,10-49,6.19,28.76,12.552142857142856,21.810000000000002,7.653333333333333,26.027499999999996,7.194999999999999,2
NL,Netherlands,2025,50-249,14.25,46.62,15.839642857142858,41.47,17.726666666666667,28.845,7.4075,3
NO,Norway,2021,10-249,5.795,10.195,10.018214285714288,,9.263333333333334,17.3,12.23,0
NO,Norway,2021,10-49,4.81,8.95,9.594999999999999,,7.989999999999999,16.405,11.66,0
NO,Norway,2021,50-249,12.645,18.895,12.366428571428571,,14.793333333333335,21.987500000000004,15.3025,2
NO,Norway,2023,10-249,3.84,8.605,13.463571428571427,4.955,10.056666666666667,21.9875,10.175,0
NO,Norway,2023,10-49,3.0,7.17,13.697142857142856,3.936666666666667,8.139999999999999,22.03,10.022499999999999,0
NO,Norway,2023,50-249,9.32,17.89,12.650714285714287,11.573333333333332,16.80666666666667,22.32,11.1675,2
NO,Norway,2024,10-249,9.025,20.229999999999997,11.14,,14.758333333333333,21.547500000000003,7.3875,2
NO,Norway,2024,10-49,8.34,18.67,10.744285714285713,,15.05,21.607499999999998,7.390000000000001,2
NO,Norway,2024,50-249,13.344999999999999,30.13,13.376785714285713,,14.636666666666667,22.407500000000002,7.755000000000001,2
NO,Norway,2025,10-249,9.06,28.19,12.913928571428572,19.041666666666668,12.483333333333334,26.502499999999998,7.2025,2
NO,Norway,2025,10-49,8.03,25.45,12.217500000000001,16.513333333333335,11.416666666666666,26.1375,6.5874999999999995,2
NO,Norway,2025,50-249,15.530000000000001,45.45,17.07357142857143,34.99333333333333,18.05,29.5675,10.7175,3
PL,Poland,2021,10-249,1.17,2.37,12.318214285714285,,6.353333333333333,16.6225,20.612500000000004,0
PL,Poland,2021,10-49,0.865,1.895,12.86107142857143,,5.239999999999999,17.1825,20.904999999999998,0
PL,Poland,2021,50-249,2.835,4.965,11.002142857142857,,8.996666666666666,15.344999999999999,20.135,0
PL,Poland,2023,10-249,1.5,2.93,12.215,2.223333333333333,8.246666666666668,17.6,15.992500000000001,0
PL,Poland,2023,10-49,1.12,2.2649999999999997,12.363571428571431,1.6783333333333335,6.923333333333333,18.419999999999998,16.725,0
PL,Poland,2023,50-249,3.5300000000000002,6.5,11.983928571428573,5.133333333333334,11.266666666666667,15.5025,14.1225,0
PL,Poland,2024,10-249,1.895,4.955,12.304285714285713,,14.908333333333333,16.125,14.46,0
PL,Poland,2024,10-49,1.35,3.96,12.405714285714284,,14.041666666666668,15.9575,14.0275,0
PL,Poland,2024,50-249,4.87,10.425,12.374285714285715,,17.25166666666667,17.1075,16.17,0
PL,Poland,2025,10-249,1.795,7.140000000000001,12.758214285714287,5.195,7.543333333333332,17.567500000000003,15.3075,0
PL,Poland,2025,10-49,1.26,5.84,12.509285714285713,4.04,5.960000000000001,17.5075,14.600000000000001,0
PL,Poland,2025,50-249,4.925000000000001,14.805,13.988214285714287,12.008333333333333,12.376666666666665,18.1975,18.3075,1
PT,Portugal,2021,10-249,2.45,6.76,14.265357142857145,,13.776666666666664,17.817500000000003,18.885,1
PT,Portugal,2021,10-49,1.77,5.404999999999999,14.003214285714284,,14.770000000000001,17.537499999999998,18.535,1
PT,Portugal,2021,50-249,5.85,13.52,15.488571428571428,,12.393333333333333,19.197499999999998,20.52,1
PT,Portugal,2023,10-249,2.815,7.36,15.069642857142858,4.728333333333333,12.699999999999998,19.494999999999997,19.517500000000002,1
PT,Portugal,2023,10-49,1.885,5.869999999999999,15.092142857142855,3.485,10.166666666666666,19.415,19.939999999999998,1
PT,Portugal,2023,50-249,8.59,16.58,15.222499999999998,12.436666666666667,20.50666666666667,20.195,17.875,1
PT,Portugal,2024,10-249,3.145,7.955,17.564285714285713,,16.328333333333333,22.695,19.175,1
PT,Portugal,2024,10-49,2.48,6.734999999999999,17.29392857142857,,14.704999999999998,22.97,19.16,1
PT,Portugal,2024,50-249,7.235,15.445,19.420357142857142,,22.188333333333333,22.365000000000002,19.9775,1
PT,Portugal,2025,10-249,3.44,10.719999999999999,18.823928571428574,7.476666666666667,10.430000000000001,25.930000000000003,21.0275,1
PT,Portugal,2025,10-49,2.84,9.49,18.60107142857143,6.176666666666667,8.506666666666666,26.357499999999998,21.065,1
PT,Portugal,2025,50-249,7.130000000000001,18.259999999999998,20.50357142857143,15.479999999999999,18.006666666666668,24.782500000000002,21.56,1
RO,Romania,2021,10-249,0.5449999999999999,1.255,,,17.756666666666664,,,0
RO,Romania,2021,10-49,0.46499999999999997,1.12,,,20.243333333333336,,,1
RO,Romania,2021,50-249,0.975,1.95,,,10.370000000000001,,,0
RO,Romania,2023,10-249,0.51,1.28,,0.8933333333333334,5.7799999999999985,,,0
RO,Romania,2023,10-49,0.39,1.07,,0.7933333333333333,3.809999999999999,,,0
RO,Romania,2023,50-249,1.15,2.38,,1.4266666666666667,10.816666666666665,,,0
RO,Romania,2024,10-249,0.925,2.79,,,10.616666666666667,,,0
RO,Romania,2024,10-49,0.745,2.585,,,10.853333333333333,,,0
RO,Romania,2024,50-249,1.9,3.885,,,9.816666666666665,,,0
RO,Romania,2025,10-249,1.89,4.6899999999999995,,3.0933333333333337,7.156666666666667,,,0
RO,Romania,2025,10-49,1.6549999999999998,4.140000000000001,,2.6566666666666667,6.173333333333335,,,0
RO,Romania,2025,50-249,3.225,7.805,,5.526666666666667,10.463333333333333,,,0
RS,Serbia,2021,10-249,0.44,0.77,,,7.713333333333334,,,0
RS,Serbia,2021,10-49,0.08,0.24,,,7.646666666666666,,,0
RS,Serbia,2021,50-249,1.9,2.96,,,8.036666666666667,,,0
RS,Serbia,2023,10-249,0.49,1.72,,1.3866666666666667,9.156666666666668,,,0
RS,Serbia,2023,10-49,0.45,1.71,,1.39,9.683333333333334,,,0
RS,Serbia,2023,50-249,0.67,1.78,,1.3800000000000001,7.013333333333333,,,0
RS,Serbia,2024,10-249,1.8,6.64,,,2.1,,,0
RS,Serbia,2024,10-49,1.55,5.91,,,0.0,,,0
RS,Serbia,2024,50-249,2.8,9.55,,,7.696666666666668,,,0
RS,Serbia,2025,10-249,1.86,9.76,,6.2700000000000005,1.3566666666666667,,,0
RS,Serbia,2025,10-49,1.64,9.43,,5.960000000000001,0.3666666666666667,,,0
RS,Serbia,2025,50-249,2.75,11.07,,7.5,4.846666666666667,,,0
SE,Sweden,2021,10-249,3.995,9.14,11.005357142857141,,12.423333333333334,20.41,8.7725,0
SE,Sweden,2021,10-49,3.2,7.654999999999999,10.42,,10.593333333333334,19.849999999999998,7.885,0
SE,Sweden,2021,50-249,8.795,18.115000000000002,13.806071428571428,,18.893333333333334,23.9175,12.355,2
SE,Sweden,2023,10-249,4.135,9.440000000000001,12.3225,7.4383333333333335,8.23,20.800000000000004,9.505,0
SE,Sweden,2023,10-49,3.615,8.71,12.182142857142859,6.541666666666667,7.103333333333332,20.0125,9.4125,0
SE,Sweden,2023,50-249,7.06,13.515,13.703928571428573,12.453333333333333,12.806666666666667,24.775000000000002,10.535,2
SE,Sweden,2024,10-249,7.475,24.035,12.484642857142857,,6.02,24.259999999999998,5.9975,2
SE,Sweden,2024,10-49,6.35,22.130000000000003,11.930000000000001,,4.566666666666666,24.17,4.93,2
SE,Sweden,2024,50-249,13.64,34.53,15.299999999999999,,12.223333333333334,25.8225,10.515,2
SE,Sweden,2025,10-249,7.9350000000000005,33.68,13.121785714285712,23.63333333333333,8.003333333333332,23.38,7.8100000000000005,2
SE,Sweden,2025,10-49,6.6899999999999995,30.795,12.902499999999998,20.44,6.1000000000000005,22.192500000000003,6.602499999999999,2
SE,Sweden,2025,50-249,14.83,49.644999999999996,14.738214285714287,41.295,16.406666666666666,29.362499999999997,12.9575,3
SI,Slovenia,2021,10-249,1.9,11.030000000000001,12.804642857142856,,27.676666666666666,18.3675,19.947499999999998,1
SI,Slovenia,2021,10-49,1.6549999999999998,9.45,12.135000000000002,,26.953333333333333,16.7775,20.165000000000003,1
SI,Slovenia,2021,50-249,3.27,19.84,15.745714285714286,,31.710000000000004,25.055000000000003,19.595,1
SI,Slovenia,2023,10-249,2.13,10.344999999999999,13.534285714285714,5.1866666666666665,27.12666666666667,16.1175,16.525000000000002,1
SI,Slovenia,2023,10-49,1.75,9.035,13.36,3.896666666666667,25.196666666666662,15.547500000000001,15.485000000000001,1
SI,Slovenia,2023,50-249,4.025,16.9,14.482142857142858,11.636666666666665,34.14666666666667,18.525,20.6175,1
SI,Slovenia,2024,10-249,3.76,20.03,16.506071428571428,,27.893333333333334,21.04,14.969999999999999,1
SI,Slovenia,2024,10-49,3.435,19.515,16.582857142857144,,27.316666666666666,20.2775,15.5225,1
SI,Slovenia,2024,50-249,5.4,22.66,18.49142857142857,,30.64,25.715,15.575000000000001,1
SI,Slovenia,2025,10-249,2.635,20.325000000000003,16.552142857142858,12.623333333333335,16.886666666666667,23.325,14.200000000000001,1
SI,Slovenia,2025,10-49,2.3049999999999997,18.415,15.759642857142856,10.886666666666668,14.993333333333332,23.04,13.3175,2
SI,Slovenia,2025,50-249,4.42,30.62,20.461785714285718,21.959999999999997,24.853333333333335,25.66,18.332500000000003,1
SK,Slovakia,2021,10-249,1.29,4.76,15.576428571428576,,6.2700000000000005,18.18,23.71,1
SK,Slovakia,2021,10-49,0.7949999999999999,4.245,15.44714285714286,,6.876666666666666,18.1325,22.572499999999998,1
SK,Slovakia,2021,50-249,3.505,7.04,16.702857142857145,,4.6433333333333335,19.235,27.845000000000002,1
SK,Slovakia,2023,10-249,2.505,6.665,13.800714285714289,4.591666666666666,9.423333333333334,17.735,19.490000000000002,0
SK,Slovakia,2023,10-49,2.075,6.1850000000000005,14.035714285714283,4.036666666666666,8.616666666666667,17.8025,18.7725,0
SK,Slovakia,2023,50-249,4.46,8.844999999999999,12.629285714285714,7.125,12.25,17.43,23.152500000000003,1
SK,Slovakia,2024,10-249,3.665,10.24,14.862142857142857,,13.248333333333333,20.065,15.7575,0
SK,Slovakia,2024,10-49,2.855,9.02,14.920357142857142,,12.236666666666666,19.7625,15.6975,0
SK,Slovakia,2024,50-249,7.41,15.865,15.211785714285714,,17.086666666666666,21.6625,16.485,1
SK,Slovakia,2025,10-249,4.234999999999999,17.22,14.659285714285716,10.415000000000001,5.41,18.4025,15.492500000000001,0
SK,Slovakia,2025,10-49,3.375,15.935,15.027142857142858,9.008333333333333,3.94,17.8875,16.8975,0
SK,Slovakia,2025,50-249,8.184999999999999,23.09,13.995714285714286,16.851666666666667,10.646666666666667,20.6825,11.5525,2
TR,T?rkiye,2021,10-249,0.975,2.57,,,12.033333333333333,,,0
TR,T?rkiye,2021,10-49,0.8300000000000001,2.395,,,11.67,,,0
TR,T?rkiye,2021,50-249,1.855,3.62,,,13.586666666666666,,,0
TR,T?rkiye,2023,10-249,2.1799999999999997,5.275,,1.7566666666666666,9.646666666666667,,,0
TR,T?rkiye,2023,10-49,2.0300000000000002,5.07,,1.5233333333333334,9.12,,,0
TR,T?rkiye,2023,50-249,3.08,6.515,,3.1616666666666666,12.203333333333333,,,0
TR,T?rkiye,2024,10-249,2.02,4.06,20.234285714285715,,11.37,25.0575,23.4725,1
TR,T?rkiye,2024,10-49,1.665,3.575,19.97214285714286,,11.426666666666668,25.265,23.1525,1
TR,T?rkiye,2024,50-249,4.03,6.8100000000000005,21.669642857142858,,11.450000000000001,24.4425,25.209999999999997,1
TR,T?rkiye,2025,10-249,2.7199999999999998,7.074999999999999,19.35607142857143,3.435,8.15,23.835,21.455,1
TR,T?rkiye,2025,10-49,2.54,6.654999999999999,19.380714285714287,3.051666666666667,7.973333333333333,24.0625,21.38,1
TR,T?rkiye,2025,50-249,3.76,9.46,19.356428571428573,5.631666666666668,8.983333333333333,22.872500000000002,21.965,1
