geo,country,year,size_emp,nace_r2,target_workflow_automation,security_concern_index,deployment_readiness_index,data_maturity_index,digital_foundation_index,market_digitization_index,ict_constraint_index,governance_maturity_proxy,persona_cluster
AT,Austria,2021,GE10,C27_C28,5.15,13.388571428571428,28.630000000000003,,7.4,23.98333333333333,,15.360000000000001,3
AT,Austria,2021,GE10,C28,4.4,14.24642857142857,23.92833333333333,,6.72,22.994666666666667,,13.721666666666666,3
AT,Austria,2021,GE10,C29_C30,4.06,20.0675,17.073333333333334,,12.97,6.626666666666666,,7.55,3
AT,Austria,2021,GE10,C31-C33,1.04,9.878571428571428,15.07,,2.28,14.245,,11.836666666666666,3
AT,Austria,2021,GE10,D_E,7.34,9.223928571428571,17.556666666666665,,8.29,26.909999999999997,,13.245000000000001,3
AT,Austria,2021,GE10,E,1.1,10.511071428571427,,,2.03,22.097333333333335,,7.613333333333334,3
AT,Austria,2021,GE10,F,0.11,9.919285714285715,24.668000000000003,,18.110000000000003,22.447333333333336,,13.098333333333334,3
AT,Austria,2021,GE10,G,2.7300000000000004,10.960357142857145,33.727999999999994,,36.39333333333334,44.884,,16.736666666666665,3
AT,Austria,2021,GE10,G45,0.23,11.909285714285716,15.209999999999999,,8.07,,,0.0,3
AT,Austria,2021,GE10,G45-S951_X_K,3.0,11.494642857142855,35.92466666666667,,34.39333333333333,41.525666666666666,,18.328333333333333,3
AT,Austria,2021,GE10,G46,3.9,12.563214285714285,41.924,,43.346666666666664,44.89066666666667,,19.723333333333333,1
AT,Austria,2021,GE10,G47,2.6500000000000004,8.428571428571429,24.526333333333334,,28.88,41.335,,12.003333333333332,3
AT,Austria,2021,GE10,H,1.3849999999999998,13.475,30.312333333333335,,23.206666666666667,38.148333333333326,,16.701666666666668,3
AT,Austria,2021,GE10,I,0.03,13.853214285714285,26.087333333333333,,30.916666666666668,58.025999999999996,,12.436666666666666,1
AT,Austria,2021,GE10,I55,0.07,17.661785714285717,27.07166666666667,,12.67,82.7725,,19.673333333333336,1
AT,Austria,2021,GE10,ICT,11.53,13.16642857142857,65.48333333333333,,17.05,41.82416666666667,,26.426666666666662,5
AT,Austria,2021,GE10,J,10.43,11.019642857142856,81.29,,14.05,8.146666666666667,,7.666666666666667,5
AT,Austria,2021,GE10,J58-J60,2.67,2.525,,,4.71,2.026666666666667,,6.816666666666666,3
AT,Austria,2021,GE10,J62_J63,12.43,12.393571428571429,83.29,,15.85,10.056666666666667,,8.186666666666666,5
AT,Austria,2021,GE10,L,4.26,14.884374999999999,,,,20.503333333333334,,0.0,0
AT,Austria,2021,GE10,L68,4.26,14.884374999999999,,,,20.503333333333334,,0.0,0
AT,Austria,2021,GE10,L_M,5.65,9.92875,,,,12.823333333333336,,6.406666666666666,0
AT,Austria,2021,GE10,M,5.89,8.862142857142858,42.37266666666667,,38.61333333333334,24.846666666666668,,21.705000000000002,5
AT,Austria,2021,GE10,M69-M71,6.07,8.18142857142857,41.68133333333333,,37.35666666666666,23.364666666666665,,21.921666666666667,5
AT,Austria,2021,GE10,M73-M75,1.44,12.223214285714286,,,1.59,7.343333333333334,,2.103333333333333,3
AT,Austria,2021,GE10,N,1.52,14.581785714285715,33.324,,25.706666666666667,27.773333333333333,,21.308333333333334,3
AT,Austria,2021,GE10,N77-N82_X_N79,1.63,14.138571428571428,31.451999999999998,,23.97,24.57133333333333,,22.396666666666665,3
AT,Austria,2021,GE10,N79,0.0,9.261875,,,,,,0.0,0
AT,Austria,2023,GE10,C,3.925,14.154642857142857,36.983333333333334,26.53888888888889,29.299999999999997,30.933,,25.595,3
AT,Austria,2023,GE10,C-E,4.045,14.530000000000001,37.505,27.22388888888889,29.176666666666666,30.691333333333336,,26.06833333333333,3
AT,Austria,2023,GE10,C-F,2.43,13.378571428571428,33.69433333333333,23.99666666666667,22.44666666666667,25.54566666666667,,23.29333333333333,3
AT,Austria,2023,GE10,C10-C12,0.725,11.435357142857143,29.78,21.466111111111115,22.856666666666666,39.28333333333334,,26.895000000000003,3
