dataflow,last update,freq,size_emp,nace_r2,indic_is,unit,geo,year,value,obs_flag,conf_status,indicator_label,country
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT_AI_EC,ES,2025,54.88,,,Barrier: data availability or quality,Spain
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT_AI_EC,PT,2021,54.61,,,Barrier: data availability or quality,Portugal
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT_AI_EC,PT,2023,53.57,,,Barrier: data availability or quality,Portugal
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT_AI_EC,PT,2024,47.93,,,Barrier: data availability or quality,Portugal
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT_AI_TX,ES,2021,0.99,,,Barrier: data availability or quality,Spain
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT_AI_TX,ES,2023,1.21,,,Barrier: data availability or quality,Spain
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT_AI_TX,ES,2024,1.6,,,Barrier: data availability or quality,Spain
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT_AI_TX,ES,2025,3.74,,,Barrier: data availability or quality,Spain
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT_AI_TX,PT,2021,1.49,,,Barrier: data availability or quality,Portugal
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT_AI_TX,PT,2023,1.84,,,Barrier: data availability or quality,Portugal
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT_AI_TX,PT,2024,3.07,,,Barrier: data availability or quality,Portugal
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT_IUSE,ES,2021,0.95,,,Barrier: data availability or quality,Spain
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT_IUSE,ES,2023,1.15,,,Barrier: data availability or quality,Spain
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT_IUSE,ES,2024,1.49,,,Barrier: data availability or quality,Spain
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT_IUSE,ES,2025,3.26,,,Barrier: data availability or quality,Spain
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT_IUSE,PT,2021,1.42,,,Barrier: data availability or quality,Portugal
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT_IUSE,PT,2023,1.79,,,Barrier: data availability or quality,Portugal
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT_IUSE,PT,2024,2.93,,,Barrier: data availability or quality,Portugal
