dataset,n,r2,adj_r2,aic,bic,features,significant_05
Stage 1 SME规模层,544,0.9185555846424932,0.9170275468309077,2541.489026833657,2588.7774685490726,10,3
Stage 2 行业验证层,5814,0.7119703186747519,0.7114739725066919,31945.929545149735,32019.27781004204,10,6
