阶段,模型,特征数,分组数,GroupKFold R2,R2标准差,MAE,时间留出R2,行业留出R2,解释
Stage 1,Ridge,25,36,0.868,0.0452,1.8342,0.9312,—,SME采纳机制解释
Stage 2,ExtraTrees,67,36,0.7137,0.0091,2.0525,0.7019,0.9521,行业/区域泛化验证
