stage,dimension,group,rows,target_mean,prediction_mean,mae,bias,r2
stage2,industry,C19,67,17.71910447761194,14.110056678413487,9.051143984936427,3.609047799198452,0.6756415840820058
stage2,industry,M72,95,10.276684210526316,11.48556998050682,4.520177363547759,-1.208885769980507,0.4122494696394387
stage2,industry,J62_J63,116,18.62271551724138,18.53832012292465,4.341261753671776,0.0843953943167285,0.609158004211837
stage2,industry,C21,100,8.405750000000001,7.004663344907407,4.20250605324074,1.4010866550925924,0.265395478889098
stage2,industry,S951,94,5.369255319148936,5.871286950847123,4.161909857663514,-0.5020316316981875,0.3667523450268628
stage2,industry,D35,91,10.381648351648352,9.244344067969068,4.075815069190069,1.1373042836792835,0.5580217185633614
stage2,industry,D,91,10.381648351648352,9.23626692867318,4.071190056471306,1.1453814229751729,0.5580872106541751
stage2,industry,J,131,16.85087786259542,16.649196785764776,3.981601030180943,0.201681076830647,0.635013696323929
stage2,industry,ICT,129,17.143372093023256,16.695046996124034,3.920584140826873,0.4483250968992245,0.6281496062854837
stage2,industry,J61,103,9.882912621359225,10.287420936713414,3.6170423184106433,-0.4045083153541896,0.3131081133470769
